12/5/2024,world,Israel orders more evacuations as Rafah fighting intensifies,,The Israeli military tells thousands of Palestinians to leave the city as it expands its military operation.,"Sun, 12 May 2024 04:50:20 GMT"
12/5/2024,world,Crack in US-Israel alliance for first time in decades,,President Biden's decision to pause an arms shipment to Israel has shaken the bedrock of a decades-old alliance.,"Sat, 11 May 2024 16:52:08 GMT"
12/5/2024,world,Switzerland's Nemo wins Eurovision as UK comes 18th,,Nemo becomes the first non-binary artist to win Eurovision with their song The Code.,"Sun, 12 May 2024 00:28:31 GMT"
12/5/2024,world,Thousands march in Georgia over foreign influence bill,,Opponents fear the government's bill will silence critics ahead of parliamentary elections later this year.,"Sat, 11 May 2024 19:32:41 GMT"
12/5/2024,world,Hundreds flee Ukraine border area after Russia attack,,Evacuations are under way in the Kharkiv area as fighting continues after Friday's surprise incursions.,"Sat, 11 May 2024 17:29:54 GMT"
12/5/2024,world,Hope for rare mountain chicken frog thanks to London-bred froglets,,"Frantic efforts are being made to save the endangered mountain chicken frog, native to just two Caribbean islands.","Sun, 12 May 2024 00:26:37 GMT"
12/5/2024,world,In pictures: Northern Lights dazzle around the world,,"The aurora borealis was visible around the world on Friday night, stunning photographers everywhere.","Sat, 11 May 2024 15:28:22 GMT"
12/5/2024,world,Virginia university students walk out of graduation event,,"Dozens of VCU grads left during Gov Glenn Youngkin's speech, in part over his comments on campus protests.","Sat, 11 May 2024 21:41:22 GMT"
12/5/2024,world,Thousands evacuated due to British Columbia wildfire,,"Fort McMurray residents in neighbouring Alberta, Canada are also under an evacuation alert due to a blaze.","Sat, 11 May 2024 20:36:51 GMT"
12/5/2024,world,Man freed five days after South Africa building collapse,,The worker pulled to safety is one of 42 people rescued from the building which collapsed on Monday.,"Sat, 11 May 2024 13:02:21 GMT"
12/5/2024,world,Dutch contestant disqualified from Eurovision,,"The singer, Joost Klein, had been among the favourites to win the contest in Malmö, Sweden.","Sat, 11 May 2024 16:05:57 GMT"
